iteration	n_neighbors	n_components	min_cluster_size	diversity	num_topics	num_outliers	TD	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	10	15	20	0.3	54	4521	0.7037	0.6896	-4.4758	0.5691	-0.0298
0	10	15	20	0.5	58	4787	0.6897	0.6867	-5.1694	0.5028	-0.071
0	10	15	20	0.7	56	4975	0.75	0.6872	-5.2584	0.4454	-0.0995
0	10	15	25	0.3	3	98	0.9333	0.7861	-3.2598	0.4108	-0.1203
0	10	15	25	0.5	3	91	1.0	0.8253	-4.9647	0.4572	-0.1334
0	10	15	25	0.7	44	4136	0.7205	0.6911	-4.6882	0.4551	-0.0854
0	10	20	10	0.3	98	4292	0.6255	0.6836	error	error	error
0	10	20	10	0.5	100	4368	0.685	0.6865	error	error	error
0	10	20	10	0.7	122	5101	0.6697	0.6845	error	error	error
0	10	20	15	0.3	83	4585	0.6337	0.6873	error	error	error
0	10	20	15	0.5	89	4771	0.6562	0.6886	-5.9252	0.4718	-0.1064
0	10	20	15	0.7	84	4332	0.6667	0.6782	error	error	error
0	10	20	20	0.3	59	4767	0.6678	0.6765	-4.5654	0.578	-0.0306
0	10	20	20	0.5	59	4907	0.7424	0.7009	-4.8907	0.507	-0.0786
0	10	20	20	0.7	57	4694	0.6965	0.6787	-4.7698	0.4568	-0.0934
0	10	20	25	0.3	3	237	0.8	0.7888	-3.0749	0.4061	-0.0728
0	10	20	25	0.5	4	293	0.9	0.7808	-2.6768	0.395	-0.106
0	10	20	25	0.7	3	227	0.8	0.6615	-4.9449	0.3915	-0.1296
0	30	5	10	0.3	3	186	0.9333	0.7833	-5.6084	0.3535	-0.138
0	30	5	10	0.5	3	126	0.9333	0.7671	-6.6506	0.3626	-0.1721
0	30	5	10	0.7	65	5950	0.6985	0.6844	error	error	error
0	30	5	15	0.3	4	653	0.9	0.6795	-5.8341	0.4483	-0.1519
0	30	5	15	0.5	48	5713	0.7708	0.6815	-4.5926	0.5012	-0.0747
0	30	5	15	0.7	51	5800	0.7255	0.6797	-4.4883	0.4561	-0.087
0	30	5	20	0.3	30	4849	0.8067	0.6724	-3.552	0.6052	0.0029
0	30	5	20	0.5	30	5057	0.8467	0.6744	-3.987	0.4945	-0.084
0	30	5	20	0.7	41	6028	0.7878	0.6891	-4.516	0.4557	-0.074
0	30	5	25	0.3	40	6095	0.735	0.6775	-3.8981	0.6111	0.0081
0	30	5	25	0.5	36	5761	0.7861	0.6934	-4.0437	0.5267	-0.0528
0	30	5	25	0.7	3	704	0.8	0.6906	-3.1639	0.3699	-0.1346
0	30	10	10	0.3	69	6258	0.7145	0.6812	error	error	error
0	30	10	10	0.5	67	6092	0.7388	0.6806	error	error	error
0	30	10	10	0.7	4	268	0.85	0.6917	-3.3689	0.3759	-0.1241
0	30	10	15	0.3	54	5723	0.7426	0.6758	error	error	error
0	30	10	15	0.5	61	6225	0.7361	0.6884	-5.1711	0.4917	-0.0777
0	30	10	15	0.7	52	5962	0.75	0.6817	error	error	error
0	30	10	20	0.3	30	5241	0.8267	0.679	-3.3866	0.6255	0.0079
0	30	10	20	0.5	38	6178	0.7711	0.6716	-4.4698	0.5155	-0.0656
0	30	10	20	0.7	3	738	0.8	0.6762	-3.2453	0.3508	-0.1294
0	30	10	25	0.3	38	6206	0.7763	0.6703	-4.0153	0.6034	0.005
0	30	10	25	0.5	3	866	0.7333	0.7428	-2.051	0.4246	-0.0735
0	30	10	25	0.7	3	790	0.8667	0.7451	-3.3368	0.3921	-0.1203
0	30	15	10	0.3	65	6042	0.7231	0.6753	error	error	error
0	30	15	10	0.5	64	6093	0.7594	0.6847	-5.4294	0.4658	-0.1031
0	30	15	10	0.7	74	6288	0.6959	0.6794	error	error	error
0	30	15	15	0.3	54	6043	0.7537	0.6723	error	error	error
0	30	15	15	0.5	51	5946	0.749	0.6897	-5.0171	0.5037	-0.0704
0	30	15	15	0.7	48	5821	0.7688	0.6878	-5.1323	0.4128	-0.1187
0	30	15	20	0.3	3	812	0.7333	0.7959	-2.7794	0.4422	-0.0711
0	30	15	20	0.5	41	6481	0.7732	0.6795	-4.1437	0.52	-0.0525
0	30	15	20	0.7	3	379	0.9333	0.7079	-3.2267	0.4082	-0.1194
0	30	15	25	0.3	36	6055	0.7972	0.6754	-3.6696	0.6146	0.0126
