iteration	n_neighbors	n_components	min_cluster_size	diversity	num_topics	num_outliers	TU	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	30	15	20	0.5	51	1893	0.9373	0.6966	-18.2881	0.4267	-0.3207
0	30	15	20	0.7	54	1863	0.95	0.6826	-18.3791	0.4343	-0.3233
0	30	15	10	0.1	74	1654	0.9014	0.691	error	error	error
0	30	15	10	0.3	72	1545	0.8931	0.6877	error	error	error
0	30	15	10	0.5	75	1590	0.9067	0.6856	error	error	error
0	30	15	10	0.7	74	1531	0.9135	0.6845	-17.988	0.4188	-0.3094
0	30	20	20	0.1	50	1763	0.91	0.6944	-17.565	0.4002	-0.3016
0	30	20	20	0.3	49	1732	0.9571	0.6914	-18.0176	0.4049	-0.3126
0	30	20	20	0.5	50	1859	0.95	0.6951	-18.51	0.4451	-0.3303
0	30	20	20	0.7	52	1768	0.9423	0.6763	-18.5404	0.4453	-0.3347
0	30	20	10	0.1	74	1657	0.8676	0.6884	error	error	error
0	30	20	10	0.3	75	1570	0.8933	0.6845	error	error	error
0	30	20	10	0.5	75	1667	0.9227	0.6877	-17.8401	0.4125	-0.31
0	30	20	10	0.7	77	1647	0.9052	0.6848	-18.0778	0.422	-0.3179
0	35	5	20	0.1	51	1874	0.9255	0.6912	-17.8453	0.402	-0.305
0	35	5	20	0.3	50	1838	0.948	0.6984	-18.0191	0.4106	-0.3051
0	35	5	20	0.5	50	1853	0.95	0.6939	-18.3146	0.4283	-0.317
0	35	5	20	0.7	51	1821	0.9235	0.6814	-18.3354	0.4328	-0.3243
0	35	5	10	0.1	75	1678	0.884	0.6801	error	error	error
0	35	5	10	0.3	74	1748	0.8865	0.6866	-17.5109	0.3909	-0.2867
0	35	5	10	0.5	72	1699	0.9111	0.6926	-17.8254	0.402	-0.3058
0	35	5	10	0.7	69	1673	0.8928	0.6806	-18.1704	0.4243	-0.3275
0	35	10	20	0.1	50	1909	0.932	0.694	-17.7417	0.4084	-0.3088
0	35	10	20	0.3	50	1796	0.948	0.6934	-17.9178	0.4081	-0.3091
0	35	10	20	0.5	50	1856	0.948	0.686	-18.2716	0.4237	-0.3137
0	35	10	20	0.7	49	1920	0.9735	0.6857	-18.6706	0.4445	-0.3351
0	35	10	10	0.1	74	1725	0.9	0.6893	-17.3903	0.3848	-0.288
0	35	10	10	0.3	73	1774	0.8877	0.683	-17.6401	0.4024	-0.2938
0	35	10	10	0.5	72	1656	0.8944	0.688	error	error	error
0	35	10	10	0.7	71	1597	0.9169	0.688	error	error	error
0	35	15	20	0.1	50	2036	0.92	0.6924	-17.7121	0.4039	-0.2974
0	35	15	20	0.3	49	1889	0.9265	0.6913	-17.7685	0.4049	-0.2992
0	35	15	20	0.5	50	1840	0.96	0.6976	-18.3049	0.4289	-0.3162
0	35	15	20	0.7	46	1925	0.963	0.6777	-18.5478	0.4409	-0.3326
0	35	15	10	0.1	72	1785	0.8944	0.6896	-17.4171	0.3919	-0.2897
0	35	15	10	0.3	72	1657	0.9361	0.6939	-17.6118	0.3932	-0.2932
0	35	15	10	0.5	72	1740	0.9319	0.6921	-18.059	0.4189	-0.3046
0	35	15	10	0.7	71	1705	0.9099	0.6773	-18.0025	0.4225	-0.318
0	35	20	20	0.1	49	1875	0.9347	0.6945	-17.8816	0.41	-0.3011
0	35	20	20	0.3	51	1976	0.951	0.6974	-17.8372	0.4056	-0.3035
0	35	20	20	0.5	4	11	0.95	0.7224	-16.138	0.4034	-0.3167
0	35	20	20	0.7	50	1864	0.944	0.6885	-18.5698	0.4512	-0.3373
0	35	20	10	0.1	73	1807	0.9	0.696	-17.3383	0.3828	-0.2834
0	35	20	10	0.3	75	1785	0.8907	0.6866	error	error	error
0	35	20	10	0.5	70	1670	0.9	0.692	error	error	error
0	35	20	10	0.7	75	1749	0.8947	0.6844	-18.0549	0.4346	-0.3232
0	40	5	20	0.1	48	1870	0.9208	0.6987	-17.8194	0.4001	-0.3115
0	40	5	20	0.3	46	1911	0.9239	0.696	-17.7665	0.4018	-0.302
0	40	5	20	0.5	47	1984	0.9553	0.6905	-18.4566	0.427	-0.3316
0	40	5	20	0.7	46	1942	0.9196	0.6867	-18.5712	0.4446	-0.336
0	40	5	10	0.1	67	1848	0.8925	0.6901	-17.5668	0.3936	-0.2976
0	40	5	10	0.3	70	1768	0.8929	0.6826	-17.6616	0.3982	-0.2975
0	40	5	10	0.5	69	1817	0.9333	0.6957	-17.885	0.4062	-0.3085
0	40	5	10	0.7	72	1798	0.9056	0.6926	error	error	error
0	40	10	20	0.1	50	1877	0.938	0.696	-17.7595	0.4028	-0.2995
0	40	10	20	0.3	47	1935	0.9617	0.6964	-18.0029	0.4105	-0.314
0	40	10	20	0.5	44	1872	0.9795	0.6919	-18.4911	0.4368	-0.3341
0	40	10	20	0.7	3	12	0.9	0.7031	error	error	error
0	40	10	10	0.1	70	1862	0.87	0.6878	error	error	error
0	40	10	10	0.3	69	1834	0.8957	0.6905	-17.5596	0.3966	-0.2914
0	40	10	10	0.5	70	1765	0.93	0.6857	-17.896	0.4111	-0.3068
0	40	10	10	0.7	75	1762	0.9173	0.6887	-18.1763	0.4136	-0.3134
0	40	15	20	0.1	49	1863	0.9347	0.6903	-17.9401	0.4072	-0.3069
0	40	15	20	0.3	4	25	1.0	0.6844	-16.9968	0.468	-0.3388
0	40	15	20	0.5	46	2011	0.9261	0.6993	-18.5757	0.4389	-0.3364
0	40	15	20	0.7	3	15	0.9667	0.7801	error	error	error
0	40	15	10	0.1	69	1791	0.8812	0.6868	-17.4563	0.3848	-0.2907
0	40	15	10	0.3	69	1700	0.9217	0.6838	-17.67	0.3944	-0.295
0	40	15	10	0.5	68	1926	0.9162	0.6794	-17.977	0.4102	-0.3148
0	40	15	10	0.7	68	1671	0.9191	0.6773	-18.2966	0.4207	-0.3214
0	40	20	20	0.1	3	19	0.9	0.6629	error	error	error
0	40	20	20	0.3	3	19	1.0	0.7312	-16.6246	0.4505	-0.3492
0	40	20	20	0.5	45	1898	0.9422	0.6852	error	error	error
0	40	20	20	0.7	3	15	0.9333	0.7737	-16.374	0.4351	-0.3429
0	40	20	10	0.1	69	1785	0.8783	0.6884	-17.3395	0.3838	-0.2896
0	40	20	10	0.3	70	1787	0.9057	0.6934	-17.5422	0.3941	-0.2908
0	40	20	10	0.5	71	1754	0.9099	0.6904	-17.8895	0.4094	-0.3081
0	40	20	10	0.7	71	1814	0.9042	0.689	error	error	error
